# File Name: /shared/data/ui/current_run/Untitled_2023-12-01-135038_20231201_135140.eds
# Comment: 
# Operator: Dongjun H.
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778620070344
# Instrument Serial Number: 2778620070344
# Heated Cover Serial Number: 2779320060447
# Block Serial Number: 2778320050408
# Run Start Date/Time: 2023-12-01 01:51:55 PM PST
# Run End Date/Time: 2023-12-01 03:34:27 PM PST
# Run Duration: 102 minutes 32 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: NONE
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-12-01 03:35:35 PM PST
# Exported On: 2023-12-01 03:35:40 PM PST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"87","D15","false","112","TNNI3","UNKNOWN","SYBR","None","Amp","2.5604594992816505","","","23.261349365335022","0.9711646706090123","22.501593674030417","1.6045822147833515","true","19384.55439175768","true","3","17","81.5948715209961","84.87504577636719","78.86138916015625",""
"88","D16","false","112","PPARGC1A","UNKNOWN","SYBR","None","Amp","2.329007786272758","","","22.823486032250372","0.5890425840961997","23.70569392831217","1.1183026550919986","true","15130.825383443827","true","3","15","82.32379913330078","","",""
"89","D17","false","112","PPARGC1A","UNKNOWN","SYBR","None","Amp","2.605117884438284","","","23.330168982976936","0.34353956192120694","23.70569392831217","1.1183026550919986","true","15130.825383443827","true","3","19","82.42455291748047","","",""
"90","D18","false","112","PPARGC1A","UNKNOWN","SYBR","None","Amp","2.6390159220613696","","","24.963426769709198","0.44252236489501584","23.70569392831217","1.1183026550919986","true","15130.825383443827","true","3","19","82.42455291748047","","",""
"91","D19","false","112","GAPDH","UNKNOWN","SYBR","None","Amp","2.5191015316782863","","","20.764608090392066","0.8569132758125046","19.564881641623156","2.057845850258952","true","19948.682858316937","true","3","15","83.06263732910156","","",""
"92","D20","false","112","GAPDH","UNKNOWN","SYBR","None","Amp","2.5523225228432826","","","20.7413128408975","0.8479750612230978","19.564881641623156","2.057845850258952","true","19948.682858316937","true","3","16","83.15379333496094","","",""
"93","D21","false","112","GAPDH","UNKNOWN","SYBR","None","Amp","2.552096345621177","","","17.1887239935799","0.19190078056499285","19.564881641623156","2.057845850258952","true","19948.682858316937","true","3","11","83.07046508789062","","",""
"94","D22","false","112","NF2","UNKNOWN","SYBR","None","Amp","2.4730708237644863","","","26.370336362152393","0.5778030577820136","26.116449244642947","1.5661782736386511","true","5741.862861131993","true","3","23","81.88504028320312","76.86978912353516","",""
"95","D23","false","112","NF2","UNKNOWN","SYBR","None","Amp","2.4663955110408993","","","24.438837964069698","0.2860589065733979","26.116449244642947","1.5661782736386511","true","5741.862861131993","true","3","20","81.88504028320312","","",""
"96","D24","false","112","NF2","UNKNOWN","SYBR","None","Amp","2.2670589320438714","","","27.540173407706746","0.9454205609852993","26.116449244642947","1.5661782736386511","true","5741.862861131993","true","3","22","81.88504028320312","","",""
"97","E1","false","113","SCN5A","UNKNOWN","SYBR","None","Inconclusive","2.4419133295787883","","","35.96242626206488","0.9565333304747053","34.90755912034442","2.582430542540523","true","14129.579076723134","true","3","27","77.14143371582031","84.70897674560547","",""
"98","E2","false","113","SCN5A","UNKNOWN","SYBR","None","Inconclusive","2.3467003948390484","","","36.79557353940967","0.9314262133643268","34.90755912034442","2.582430542540523","true","14129.579076723134","true","3","27","84.61780548095703","","",""
"99","E3","false","113","SCN5A","UNKNOWN","SYBR","None","Amp","2.6198061586853667","","","31.964677559558723","0.9875621960726356","34.90755912034442","2.582430542540523","true","14129.579076723134","true","3","27","83.88839721679688","","",""
"100","E4","false","113","ATP2A2","UNKNOWN","SYBR","None","Amp","2.5938656257544035","","","25.051813079211335","0.8649273441803105","24.274114911050958","1.094693910753262","true","14388.314446304512","true","3","16","81.33549499511719","","",""
"101","E5","false","113","ATP2A2","UNKNOWN","SYBR","None","Amp","2.682939860162517","","","23.02228035335589","0.3787643297051945","24.274114911050958","1.094693910753262","true","14388.314446304512","true","3","16","81.33533477783203","","",""
"102","E6","false","113","ATP2A2","UNKNOWN","SYBR","None","Amp","2.6689014396919934","","","24.74825130058565","0.835681166973051","24.274114911050958","1.094693910753262","true","14388.314446304512","true","3","20","81.33533477783203","","",""
"103","E7","false","113","MYH7","UNKNOWN","SYBR","None","Amp","2.493376142860463","","","26.733384334779096","0.35743379939542125","28.029850662367256","1.243109479940429","true","11800.235948122277","true","3","21","84.79998779296875","80.78828430175781","",""
