"","wi_i_psc_1","wi_i_psc_2","wi_i_psc_3","h11_i_psc_1","h11_i_psc_2","h11_i_psc_3","hgnc_symbol"
"ENSG00000254781",5.7233451268249,5.55169810502553,5.62187073937371,5.41763530158468,5.58941112753347,5.18916229606352,"GVINP2"
"ENSG00000188124",5.56795900410903,5.18916229606352,5.18916229606352,5.18916229606352,5.42073917321374,5.67365025968087,"OR2AG2"
"ENSG00000283415",5.67726142123402,5.44585014100165,5.43960949891239,5.58406876767317,5.65084094740345,5.60923011344797,NA
"ENSG00000149054",8.42259648980378,8.32233148270912,8.49288334720305,8.39949709258466,8.21164059930644,8.52507984642653,"ZNF215"
"ENSG00000149050",6.47980583577555,6.16586277639016,6.40653185858058,6.40552044432822,6.31918118804057,6.59337622547357,"ZNF214"
"ENSG00000158077",5.62614418774403,5.18916229606352,5.43960949891239,5.64469130782133,5.42073917321374,5.43225849630727,"NLRP14"
"ENSG00000170743",7.1126305579247,6.87272741993028,6.7554529456089,7.22230691450203,6.87268809936991,7.40017947707649,"SYT9"
"ENSG00000251364",6.24024081347153,6.06597151189217,6.14289656252462,6.28321266461657,6.0731263431831,5.87118716049069,"SYT9-AS1"
"ENSG00000183801",5.62614418774403,5.44585014100165,5.62187073937371,6.21547329745258,5.91459258397891,6.08534302111459,"OLFML1"
"ENSG00000166387",8.04186505259243,7.87783360958604,7.78219938455487,7.79392738496052,7.63741112469434,8.12943282166868,"PPFIBP2"
"ENSG00000166394",9.95845051630175,10.3097803035491,9.53824486743102,9.77558653134674,10.0394129775354,9.80048057087079,"CYB5R2"
"ENSG00000183378",5.56795900410903,5.55169810502553,5.79885359899228,5.90504540691154,5.87807498735324,6.11577472647271,"OVCH2"
"ENSG00000275612",5.18916229606352,5.55169810502553,5.54290621656904,5.41763530158468,5.58941112753347,5.43225849630727,NA
"ENSG00000276668",5.18916229606352,5.18916229606352,5.68819431414795,5.78992687561757,5.58941112753347,5.73020902711406,NA
