Geneid,SK7A-1,SK7A-2,SK7A-3,SK8A-1,SK8A-2,SK8A-3,SK8A-4,SK8A-5,SK8A-6,Wi-1,Wi-2,Wi-3
ENSG00000013503,778,1172,1295,1001,1003,849,185,141,38,106,105,167
ENSG00000013523,2090,2611,2582,1510,1752,1507,364,352,63,226,152,306
ENSG00000013561,2691,4344,5230,3597,4517,3589,859,709,207,668,710,705
ENSG00000013563,1481,1649,1760,1107,1271,1144,310,250,49,382,561,343
ENSG00000013573,1566,1874,1406,1534,1141,1150,286,254,77,290,236,484
ENSG00000013583,1429,1492,2079,1469,1397,1461,429,382,72,421,446,373
ENSG00000013588,556,404,527,505,210,314,39,49,12,2278,5821,2025
ENSG00000013619,505,833,881,683,764,769,141,130,25,151,80,266
ENSG00000013725,2,19,24,4,10,6,2,0,0,6,2,0
ENSG00000013810,5486,5110,4434,4909,1686,2577,461,626,107,373,140,1097
ENSG00000014123,2925,4046,4686,3161,3244,3233,490,508,85,528,658,523
ENSG00000014138,309,284,286,219,167,231,22,36,7,26,27,93
ENSG00000014164,1078,1099,1261,1010,917,894,227,194,36,175,243,194
ENSG00000014216,6831,8552,10807,8540,8220,7480,2528,1951,385,3654,6622,2941
ENSG00000014257,18,3,1,4,0,2,0,0,0,2,0,0
ENSG00000014641,6559,8910,9481,7777,6187,6153,1262,1188,223,794,1230,1245
ENSG00000014824,7519,9679,11080,7514,7642,7456,1178,1099,207,687,805,1055
ENSG00000014914,394,436,367,181,309,237,41,41,8,340,259,201
ENSG00000014919,2026,2318,2648,1601,1628,1427,255,227,42,213,225,256
ENSG00000015133,3174,3456,4099,3013,2342,2210,612,481,109,311,398,441
ENSG00000015153,1891,2183,2465,1358,1633,1629,279,239,47,182,362,323
ENSG00000015171,9049,10248,11499,6713,7942,8083,1359,1441,269,1067,1044,1434
ENSG00000015285,45,33,49,19,22,19,13,8,0,4,10,8
ENSG00000015413,12,17,12,15,2,10,4,0,2,6,6,0
ENSG00000015475,2150,1959,2712,1141,1586,1613,360,336,64,457,579,494
ENSG00000015479,324,456,315,196,225,171,16,23,4,34,68,63
ENSG00000015520,6,9,8,10,2,0,0,0,0,2,0,7
