"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000115365",1326.89860143621,-0.189223083084682,0.204065763947811,-0.927265208156499,0.353788853721631,0.972918111736868,"LANCL1"
"ENSG00000021826",240.775474942111,0.117479755215956,0.286259938800516,0.410395375993648,0.681515937730259,0.996963966487092,"CPS1"
"ENSG00000178568",9.18760337878019,-0.447182597158276,0.777605823527723,-0.575076193654988,0.565239767598855,0.995223898895569,"ERBB4"
"ENSG00000030419",59.2294818326098,0.561453285376541,0.38488191352948,1.45876765220753,0.144629068656601,0.812444162913596,"IKZF2"
"ENSG00000270659",9.14503777716521,1.07540038951776,0.849967414183625,1.26522543284869,0.205790527956745,0.887014070525452,NA
"ENSG00000144451",255.907597169552,-0.348867856479455,0.23528456884208,-1.48274856356436,0.138141226652059,0.799612599723841,"SPAG16"
"ENSG00000138376",434.750137283393,-0.20867575223798,0.23598459039032,-0.884277027973857,0.376546685880635,0.978741373560364,"BARD1"
"ENSG00000229267",7.12033196254905,-0.247258994228628,0.987631151759306,-0.250355604709487,0.8023123588569,0.996963966487092,"SNHG31"
"ENSG00000230076",4.40781889619496,0.664541747060493,1.25758145600785,0.528428392360411,0.59720203555907,NA,"RPL10P6"
"ENSG00000144452",2.64695533787144,-0.775838318981723,1.51432265048337,-0.512333562952437,0.608417579426063,NA,"ABCA12"
"ENSG00000138363",4967.74072635739,0.167137469279119,0.20202165634377,0.827324517103799,0.408053151172027,0.983310023689396,"ATIC"
"ENSG00000115414",2365.4410373272,0.38595468466969,0.306861991286981,1.25774679050668,0.208483344507922,0.887069585281776,"FN1"
"ENSG00000230695",1.24857225840026,-1.47445482939188,2.4260627333383,-0.607756266616821,0.543349138794482,NA,NA
"ENSG00000235770",6.17659402302993,-0.149649804945414,1.01126734028461,-0.147982436477477,0.882356629283445,0.996963966487092,"LINC00607"
"ENSG00000226276",3.29121485692332,-1.30399692622955,1.3781561107841,-0.946189561563997,0.344051909294541,NA,NA
"ENSG00000118242",535.960777556214,-0.0571770316156529,0.207653693015048,-0.275348012286541,0.783048880981781,0.996963966487092,"MREG"
"ENSG00000115425",291.876362765433,-0.3016818789538,0.248042112552833,-1.21625265907031,0.223888689421996,0.897492519350991,"PECR"
"ENSG00000163449",66.8696260221541,-0.167122019056882,0.353519542071118,-0.472737710842763,0.636400318564147,0.996963966487092,"TMEM169"
"ENSG00000079246",16306.4777535005,-0.206148428140945,0.210359852345051,-0.97997990511422,0.327096037970099,0.963011064590385,"XRCC5"
"ENSG00000279348",72.7427593612256,-0.377521464907955,0.393159530546879,-0.960224630400867,0.336942173185085,0.96750311430579,NA
"ENSG00000260804",141.075483937629,0.211238238935378,0.350675127603675,0.602375881000931,0.546923961039876,0.995223898895569,"LINC01963"
"ENSG00000144583",138.300394146405,0.447457937063743,0.367896956477585,1.21625887136418,0.223886323660835,0.897492519350991,"MARCHF4"
"ENSG00000138375",638.963300891006,0.0746255893481413,0.221486551505932,0.336930566848175,0.736169242165029,0.996963966487092,"SMARCAL1"
"ENSG00000232485",2.12137115833417,1.5370154146964,1.69133978353361,0.908756140936514,0.363478862533241,NA,NA
"ENSG00000197756",19355.1150735859,-0.31450179757201,0.250681612313586,-1.25458662352383,0.209628861846236,0.887479853071655,"RPL37A"
"ENSG00000115457",11133.5319425349,-0.429066576409836,0.25851759555487,-1.65971904345198,0.09697098651276,0.712220621162179,"IGFBP2"
"ENSG00000115461",173.184169238599,-0.134716629669291,0.942189604401019,-0.142982504837691,0.886303998332357,0.996963966487092,"IGFBP5"
"ENSG00000231672",2.14450857370465,-0.691443175267609,1.52107343682882,-0.454575800566967,0.649414447696111,NA,NA
"ENSG00000079308",145.410838943809,0.0752014921468986,0.334403232290959,0.224882671234072,0.822070550392209,0.996963966487092,"TNS1"
"ENSG00000223923",3.68524730648213,-1.19797992589022,1.27750527503167,-0.937749494506412,0.348373161708068,NA,"TNS1-AS1"
"ENSG00000188282",3.67778693693934,-0.196482404527984,1.21402582210541,-0.161843678240087,0.871428956174096,NA,"RUFY4"
"ENSG00000229754",3.43718520487607,-0.49993104962619,1.24211770672899,-0.402482829862167,0.68732872222514,NA,NA
"ENSG00000180871",79.4096623434407,1.13847250116173,0.489244271875218,2.32700220852477,0.0199651477040395,0.357676777400552,"CXCR2"
"ENSG00000163466",4855.77887133266,0.108191821917329,0.216459596864743,0.499824556103806,0.617198618295167,0.996495182477462,"ARPC2"
"ENSG00000261338",11.1543662489958,0.665845907783611,0.709199408243395,0.938869801700533,0.347797595451414,0.970403393201782,NA
